31/01/2001	19
28/02/2001	208
31/03/2001	782
30/04/2001	1121
31/05/2001	1910
30/06/2001	2390
31/07/2001	3156
31/08/2001	4605
30/09/2001	7043
31/10/2001	10814
30/11/2001	13860
31/12/2001	16442
31/01/2002	18115
28/02/2002	26764
31/03/2002	29290
30/04/2002	30969
31/05/2002	32674
30/06/2002	35576
31/07/2002	38360
31/08/2002	43121
30/09/2002	52756
31/10/2002	90524
30/11/2002	95891
31/12/2002	100526
31/01/2003	106756
28/02/2003	111859
31/03/2003	117144
30/04/2003	122656
31/05/2003	129146
30/06/2003	135647
31/07/2003	144379
31/08/2003	152627
30/09/2003	161357
31/10/2003	168662
30/11/2003	178060
31/12/2003	189674
31/01/2004	200981
29/02/2004	217064
31/03/2004	239255
30/04/2004	258781
31/05/2004	277938
30/06/2004	298265
31/07/2004	320154
31/08/2004	341883
30/09/2004	364258
31/10/2004	388155
30/11/2004	415877
31/12/2004	444892
31/01/2005	469768
28/02/2005	492743
31/03/2005	521827
30/04/2005	555758
31/05/2005	591089
30/06/2005	626000
31/07/2005	674000
31/08/2005	725000
30/09/2005	768000
31/10/2005	819000
30/11/2005	866000
31/12/2005	922000
31/01/2006	961000
28/02/2006	1000000
31/03/2006	1054996
30/04/2006	1110854
31/05/2006	1166712
30/06/2006	1224289
31/07/2006	1289079
31/08/2006	1359717
30/09/2006	1412803
31/10/2006	1462910
30/11/2006	1510789
31/12/2006	1559619
31/01/2007	1611122
28/02/2007	1663419
31/03/2007	1715552
30/04/2007	1763740
31/05/2007	1811430
30/06/2007	1857844
31/07/2007	1926373
31/08/2007	1985128
30/09/2007	2030045
31/10/2007	2070696
30/11/2007	2109383
31/12/2007	2153891
31/01/2008	2203380
29/02/2008	2259431
31/03/2008	2312963
30/04/2008	2354835
31/05/2008	2395687
30/06/2008	2436382
31/07/2008	2485599
31/08/2008	2539665
30/09/2008	2568272
31/10/2008	2607839
30/11/2008	2642438
31/12/2008	2678813
31/01/2009	2721548
28/02/2009	2769317
31/03/2009	2821544
30/04/2009	2863293
31/05/2009	2898906
30/06/2009	2930449

